#Name,Date,RaDeg,DecDeg
Gaia24all,2024-01-26 23:50:20,325.68136,58.50455
Gaia24alb,2024-01-26 17:43:28,339.76135,59.89332
Gaia24akz,2024-01-26 16:57:57,124.33153,-47.91998
Gaia24aeh,2024-01-06 15:12:21,117.99995,-25.06064
Gaia24adx,2024-01-05 21:16:58,113.49959,-29.33258
Gaia24aam,2023-12-30 13:48:57,305.62971,37.16785
Gaia24aal,2023-12-30 17:57:16,307.98033,32.61759
Gaia24aae,2023-12-29 13:51:13,308.21878,40.76454
Gaia23dtn,2023-12-24 00:23:26,343.58171,60.81425
Gaia23dqt,2023-12-16 12:21:55,25.49796,49.78916
Gaia23don,2023-12-10 05:06:26,215.22976,-62.08986
Gaia23dnm,2023-12-05 17:03:40,186.92014,-61.42262
Gaia23dmq,2023-12-04 06:28:46,350.62864,62.95597
Gaia23dit,2023-11-24 03:36:08,117.56695,-31.70651
Gaia23dhy,2023-11-21 21:33:39,116.29144,-23.33822
Gaia23deh,2023-11-13 03:27:53,103.36372,2.04225
Gaia23deg,2023-11-13 12:20:49,282.49331,-0.37793
Gaia23def,2023-11-13 08:10:32,279.5832,1.73001
Gaia23ddj,2023-11-11 18:16:55,281.02501,-5.37917
Gaia23dco,2023-11-09 12:15:02,276.18573,-9.0417
Gaia23dbz,2023-10-31 12:02:16,262.22295,-18.89589
Gaia23dby,2023-10-31 23:32:49,265.98527,-49.59948
Gaia23dag,2023-10-28 11:52:08,258.50417,-25.94148
Gaia23dab,2023-10-27 11:29:26,249.57987,-46.68753
Gaia23czt,2023-10-25 16:17:32,59.22651,52.28113
Gaia23cxp,2023-10-15 12:39:43,206.99785,-57.69507
Gaia23cxl,2023-10-16 02:22:49,61.88872,55.40758
Gaia23cxk,2023-10-16 02:14:57,47.26145,57.51669
Gaia23cwg,2023-10-13 00:38:45,204.57951,-63.33257
Gaia23cwe,2023-10-12 18:35:50,198.66717,-62.8604
Gaia23cve,2023-10-11 10:43:10,184.26171,-63.0105
Gaia23cvc,2023-10-10 07:42:08,347.91691,57.2595
Gaia23cpg,2023-09-23 05:26:18,106.7472,-0.70598
Gaia23cob,2023-09-20 15:39:26,98.15864,5.69527
Gaia23cne,2023-09-18 21:35:45,94.60797,12.27637
Gaia23ckk,2023-09-14 09:14:42,93.75806,36.65566
Gaia23cfy,2023-09-04 03:11:01,38.41384,57.56393
Gaia23cfu,2023-09-04 06:19:00,216.23369,-45.49406
Gaia23cfn,2023-09-03 18:05:20,215.92802,-60.06496
Gaia23ces,2023-09-01 16:49:50,19.0691,63.53131
Gaia23ccc,2023-08-27 22:42:13,339.0255,58.70528
Gaia23byf,2023-08-17 04:18:40,301.39969,30.55718
Gaia23bye,2023-08-17 02:30:35,299.76995,29.92647
Gaia23bto,2023-05-01 22:31:39,312.29538,23.62489
Gaia23bte,2023-04-30 14:18:58,213.33318,-61.70352
Gaia23bst,2023-04-29 04:59:53,45.41875,60.0215
Gaia23bsi,2023-04-29 12:51:46,168.11931,-60.21723
Gaia23bsh,2023-04-29 02:27:48,189.75752,-63.56176
Gaia23bsb,2023-04-28 18:34:58,203.92488,-63.71934
Gaia23brj,2023-04-26 20:52:49,69.27928,48.09946
Gaia23bpn,2023-04-17 10:22:32,74.12359,39.21061
Gaia23bmq,2023-04-10 23:37:41,271.06865,-32.42201
Gaia23biz,2023-03-31 15:57:23,107.70006,-7.89184
Gaia23bir,2023-03-30 20:06:03,107.04841,-13.15747
Gaia23bgy,2023-03-25 16:46:57,294.88434,32.5469
Gaia23bef,2023-03-20 03:05:28,127.22291,-64.72526
Gaia23bee,2023-03-19 19:38:28,132.04957,-46.82039
Gaia23bcr,2023-03-11 21:50:14,18.92636,60.4329
Gaia23bcf,2023-03-11 08:29:12,223.49134,-58.51666
Gaia23bbf,2023-03-08 19:43:04,265.27038,-28.25107
Gaia23bai,2023-03-07 00:37:25,303.08407,19.28632
Gaia23baf,2023-03-07 05:26:17,279.90047,-4.59632
Gaia23bad,2023-03-06 17:08:00,290.29608,8.53141
Gaia23awr,2023-02-26 10:32:28,306.69629,38.49646
Gaia23avv,2023-02-23 13:35:53,130.1708,-44.76546
Gaia23arw,2023-02-13 23:58:28,351.70244,62.30009
Gaia23any,2023-02-02 13:01:29,254.30498,-48.67763
Gaia23anb,2023-02-01 00:54:16,253.41281,-41.7967
Gaia23amu,2023-01-31 06:51:47,253.86306,-39.48788
Gaia23ala,2023-01-25 19:50:00,15.54343,-72.73971
Gaia23ajd,2023-01-20 20:41:58,249.46394,-50.90113
Gaia23ajc,2023-01-20 08:42:29,246.78101,-51.42295
Gaia23ahn,2023-01-16 04:57:08,300.82521,55.34726
Gaia23afn,2023-01-10 20:09:55,120.00502,-35.36968
Gaia23aci,2023-01-04 17:01:50,294.58569,23.63736
Gaia22enp,2022-10-25 10:56:52,265.40159,-23.35979
Gaia22emj,2022-10-22 04:47:23,257.79432,-32.41862
Gaia22ejv,2022-10-18 16:13:35,243.18812,-64.72249
Gaia22ehg,2022-10-10 08:59:23,110.01923,-31.70766
Gaia22egq,2022-10-09 02:26:42,332.98718,49.73147
Gaia22egc,2022-10-08 08:29:30,96.66017,-3.30046
Gaia22eeu,2022-10-06 05:04:31,270.15448,-17.63946
Gaia22edx,2022-10-04 04:54:38,269.9881,-28.8941
Gaia22ecz,2022-10-03 01:29:23,62.00951,49.69926
Gaia22eca,2022-09-30 05:54:19,225.81165,-62.02486
Gaia22ebk,2022-09-28 21:43:40,179.20166,-59.74219
Gaia22eaz,2022-09-28 05:35:18,185.36037,-64.46546
Gaia22dyq,2022-09-19 18:08:22,301.02451,31.92548
Gaia22dva,2022-09-09 08:36:10,92.32075,2.12409
Gaia22duz,2022-09-09 17:30:09,280.70878,-10.65808
Gaia22dtn,2022-09-06 23:16:14,281.15568,-25.71361
Gaia22dtb,2022-09-05 17:32:12,263.46575,-14.67931
Gaia22dql,2022-08-31 23:09:00,262.27407,-41.53434
Gaia22dkz,2022-08-17 22:49:02,169.16896,-62.04024
Gaia22dkb,2022-08-15 19:49:32,332.45573,58.94531
Gaia22ddh,2022-07-28 13:30:20,300.52204,27.84933
Gaia22dcc,2022-07-26 13:28:31,298.80441,31.54306
Gaia22dbo,2022-07-23 16:18:07,114.0083,-39.21443
Gaia22dbi,2022-07-23 11:22:15,202.27888,-53.43865
Gaia22cum,2022-07-04 14:07:36,64.25836,58.39613
Gaia22cue,2022-07-03 17:23:10,238.2974,-55.35084
Gaia22ctm,2022-07-02 02:17:09,47.99814,51.06921
Gaia22csu,2022-06-30 15:56:45,50.91685,56.69588
Gaia22coc,2022-06-16 16:21:59,323.19125,47.18399
Gaia22cml,2022-06-13 21:05:01,308.8203,18.87144
Gaia22che,2022-05-27 17:39:44,104.14739,-13.43682
Gaia22cgg,2022-05-24 20:51:36,292.45912,19.24769
Gaia22cfj,2022-05-22 12:01:08,132.0079,-22.67886
Gaia22cek,2022-05-19 13:38:10,128.39857,-36.24479
Gaia22bxd,2022-04-28 07:14:37,214.50515,-64.46646
