OGLE-BLAP-001  GD1376.19.22688   5254042907771535616  10:41:48.77 -61:25:08.5  288.063556  -2.347120  0.0196215026(24)  17.223  17.706  0.231  -                              
OGLE-BLAP-002  BLG629.31.72007   4120098939500297344  17:43:58.02 -19:16:54.1    8.059214   5.346836  0.0161708087(16)  17.951  18.893  0.357  0.33                           
OGLE-BLAP-003  BLG633.30.129339  4068336371738834176  17:44:51.48 -24:10:04.0    3.982035   2.630805  0.0197623134(7)   18.111  19.170  0.235  0.266                          
OGLE-BLAP-004  BLG637.03.113705  4070442421815935104  17:51:04.72 -22:09:03.4    6.449676   2.445269  0.0155254788(10)  17.534  18.861  0.259  0.429                          
OGLE-BLAP-005  BLG535.28.81165   4043625432052927360  17:52:18.73 -31:56:35.0  358.163251  -2.783874  0.0189260406(9)   18.818  20.000  0.302  0.332                          
OGLE-BLAP-006  BLG501.08.44012   4056291840232754048  17:55:02.88 -29:50:37.5    0.273131  -2.228523  0.0263993522(56)  17.398  18.349  0.308  0.358                          
OGLE-BLAP-007  BLG505.31.154223  4062599673998928640  17:55:57.52 -28:52:11.0    1.215326  -1.909881  0.0244316659(41)  18.455  19.276  0.284  0.296                          
OGLE-BLAP-008  BLG508.30.63986   4043377767116036608  17:56:48.26 -32:21:35.6  358.281719  -3.815279  0.0239452440(14)  17.598  18.732  0.174  0.271                          
OGLE-BLAP-009  BLG645.02.86575   4063563189835683968  17:58:48.20 -27:16:53.7    2.905106  -1.658318  0.0221772711(3)   15.070  15.639  0.242  0.275  OW-BLAP-4               
OGLE-BLAP-010  BLG510.19.69352   4042004343740886272  17:58:59.22 -35:18:07.0  355.941887  -5.665713  0.0223145607(10)  16.924  17.260  0.343  0.383                          
OGLE-BLAP-011  BLG539.25.52675   4037458722243308288  18:00:23.24 -35:58:03.1  355.498263  -6.239537  0.0242186494(50)  16.977  17.260  0.286  0.23                           
OGLE-BLAP-012  BLG521.25.110265  4049997484110242304  18:05:44.20 -30:11:15.2    1.118702  -4.410057  0.0214560743(7)   17.625  18.251  0.341  0.353                          
